timestamp,cpu_allocation_efficiency,memory_allocation_efficiency,network_latency,node_cpu_usage,node_memory_usage,node_temperature
2025-12-27 22:36:35,0.0,0.0,0.0,0.0025341066,0.849095,0.0
2025-12-27 22:36:45,0.0,0.0,0.0,0.0024600325,0.84899276,0.0
2025-12-27 22:36:55,0.0,0.0,0.0,0.0023685938,0.849095,0.0
2025-12-27 22:37:06,0.0,0.0,0.0,0.0023194542,0.84904385,0.0
2025-12-27 22:37:16,0.0,0.0,0.0,0.0022911832,0.8489416,0.0
2025-12-27 22:37:26,0.0,0.0,0.0,0.0026077742,0.84965724,0.0
2025-12-27 22:37:41,0.0,0.0,0.0,0.0026241767,0.85124177,0.0
2025-12-27 22:37:52,0.0,0.0,0.0,0.0023708334,0.84965724,0.0
2025-12-27 22:38:02,0.0,0.0,0.0,0.0021547363,0.84965724,0.0
2025-12-27 22:38:13,0.0,0.0,0.0,0.0026842467,0.8480216,0.0
2025-12-27 22:38:23,0.0,0.0,0.0,0.0023805436,0.84965724,0.0
2025-12-27 22:38:33,0.0,0.0,0.0,0.007230168,0.85016835,0.0
2025-12-27 22:38:43,0.0,0.0,0.0,0.0068060714,0.84899276,0.0
2025-12-27 22:38:54,0.0,0.0,0.0,0.0066894386,0.84904385,0.0
2025-12-27 22:39:04,0.0,0.0,0.0,0.007153186,0.849095,0.0
2025-12-27 22:39:14,0.0,0.0,0.0,0.0025434962,0.849095,0.0
2025-12-27 22:39:25,0.0,0.0,0.0,0.002662803,0.84904385,0.0
2025-12-27 22:39:35,0.0,0.0,0.0,0.0024314397,0.84899276,0.0
2025-12-27 22:39:45,0.0,0.0,0.0,0.002539811,0.8506284,0.0
2025-12-27 22:39:55,0.0,0.0,0.0,0.0025663718,0.84899276,0.0
2025-12-27 22:40:06,0.0,0.0,0.0,0.002613289,0.84899276,0.0
2025-12-27 22:40:16,0.0,0.0,0.0,0.0023855662,0.84899276,0.0
2025-12-27 22:40:26,0.0,0.0,0.0,0.002447422,1.727529,0.0
2025-12-27 22:40:36,0.0,0.0,0.0,1.4261878,2.6070876,0.0
2025-12-27 22:40:47,0.0,0.0,0.0,2.9829018,2.6071386,0.0
2025-12-27 22:40:57,0.0,0.0,0.0,3.2066064,1.7280912,0.0
2025-12-27 22:41:07,0.0,0.0,0.0,4.458821,2.605503,0.0
2025-12-27 22:41:17,0.0,0.0,0.0,4.0151944,2.605452,0.0
2025-12-27 22:41:28,0.0,0.0,0.0,4.947413,2.6038163,0.0
2025-12-27 22:41:38,0.0,0.0,0.0,4.785386,1.7283468,0.0
2025-12-27 22:41:48,0.0,0.0,0.0,3.9712815,0.8495039,0.0
2025-12-27 22:41:58,0.0,0.0,0.0,3.2464018,0.8495039,0.0
2025-12-27 22:42:08,0.0,0.0,0.0,1.1501817,0.849555,0.0
2025-12-27 22:42:19,0.0,0.0,0.0,0.0022390531,0.849555,0.0
2025-12-27 22:42:29,0.0,0.0,0.0,0.0024874494,0.84786826,0.0
2025-12-27 22:42:39,0.0,0.0,0.0,0.0022934433,0.849555,0.0
2025-12-27 22:42:54,0.0,0.0,0.0,0.0026685349,0.8479194,0.0
2025-12-27 22:43:04,0.0,0.0,0.0,0.0025001804,0.84786826,0.0
2025-12-27 22:43:15,0.0,0.0,0.0,0.0023280897,0.84786826,0.0
2025-12-27 22:43:25,0.0,0.0,0.0,0.0025015336,0.84786826,0.0
2025-12-27 22:43:35,0.0,0.0,0.0,0.002482321,0.8495039,0.0
2025-12-27 22:43:45,0.0,0.0,0.0,0.002443735,0.84786826,0.0
2025-12-27 22:43:56,0.0,0.0,0.0,0.002120193,0.84786826,0.0
2025-12-27 22:44:06,0.0,0.0,0.0,0.0025157959,0.84786826,0.0
2025-12-27 22:44:16,0.0,0.0,0.0,0.0026394338,0.84786826,0.0
2025-12-27 22:44:26,0.0,0.0,0.0,0.0025562767,0.84786826,0.0
2025-12-27 22:44:37,0.0,0.0,0.0,0.0022639565,0.84786826,0.0
2025-12-27 22:44:47,0.0,0.0,0.0,0.002742556,0.8495039,0.0
2025-12-27 22:44:57,0.0,0.0,0.0,0.0021716717,0.8495039,0.0
2025-12-27 22:45:07,0.0,0.0,0.0,0.0024830606,0.8479194,0.0
2025-12-27 22:45:18,0.0,0.0,0.0,0.0022815512,0.8496061,0.0
2025-12-27 22:45:28,0.0,0.0,0.0,0.0022800062,0.8496061,0.0
