timestamp,cpu_allocation_efficiency,memory_allocation_efficiency,disk_io,network_latency,node_cpu_usage,node_memory_usage,node_temperature
2025-12-05 02:14:20,0.0,1.5,46013.265625,0.0,0.0,1.1059390306472778,0.0
2025-12-05 02:15:33,0.0,1.5,58574.75390625,0.0,0.0,1.1059390306472778,0.0
2025-12-05 02:15:38,0.0,1.5,58574.75390625,0.0,0.0,1.1059390306472778,0.0
2025-12-05 02:15:43,0.0,1.5,58574.75390625,0.0,0.0,1.1059390306472778,0.0
2025-12-05 02:15:48,0.0,1.5,58574.75390625,0.0,0.0,1.1059390306472778,0.0
2025-12-05 02:15:54,0.0,1.5,46287.88671875,0.0,0.0,1.1059390306472778,0.0
2025-12-05 02:16:58,0.0,1.5,46424.4296875,0.0,0.0,1.1059390306472778,0.0
2025-12-05 02:18:02,0.0,1.5,45471.6640625,0.0,0.0,1.1059390306472778,0.0
2025-12-05 02:19:07,0.0,1.5,46424.4296875,0.0,0.0,1.1059390306472778,0.0
2025-12-05 02:20:11,0.0,1.5,46287.88671875,0.0,0.0,1.1059390306472778,0.0
2025-12-05 02:21:15,0.0,1.5,45333.6015625,0.0,0.0,1.1059390306472778,0.0
2025-12-05 02:22:19,1.5,1.5,46697.51171875,0.0,6.644031047821045,1.1725397109985352,0.0
2025-12-05 02:23:24,1.5,1.5,47108.7109375,0.0,6.663998126983643,1.372137188911438,0.0
2025-12-05 02:24:29,1.5,1.5,44649.375,0.0,6.6465654373168945,1.3700926303863525,0.0
2025-12-05 02:25:33,1.5,1.5,44377.76953125,0.0,6.6445441246032715,1.3877267837524414,0.0
2025-12-05 02:26:38,1.5,1.5,43695.03515625,0.0,3.728788137435913,1.306814432144165,0.0
2025-12-05 02:27:42,0.0,1.5,43283.953125,0.0,0.0,1.306814432144165,0.0
2025-12-05 02:28:46,0.0,1.5,45468.6328125,0.0,0.0,1.306814432144165,0.0
2025-12-05 02:30:01,0.0,1.5,55709.3125,0.0,0.0,1.306814432144165,0.0
2025-12-05 02:30:07,0.0,1.5,55709.3125,0.0,0.0,1.306814432144165,0.0
2025-12-05 02:30:12,0.0,1.5,55709.3125,0.0,0.0,1.306814432144165,0.0
2025-12-05 02:30:17,0.0,1.5,55709.3125,0.0,0.0,1.306814432144165,0.0
2025-12-05 02:30:22,0.0,1.5,955523.9375,0.0,0.0,1.306814432144165,0.0
2025-12-05 02:31:27,0.0,1.5,302315.03125,0.0,0.0,1.306814432144165,0.0
2025-12-05 02:32:31,0.0,1.5,44649.375,0.0,0.0,1.306814432144165,0.0
2025-12-05 14:37:05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-05 14:37:47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-05 14:38:28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-05 14:39:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-05 14:39:52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-05 14:41:34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
